City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nisia Floresta,BR,2021-05-26 22:03:48,-6.0911,-35.2086,77.81,81,20,11.05
68,Honningsvag,NO,2021-05-26 22:03:49,70.9821,25.9704,38.75,69,37,3.96
69,Souillac,MU,2021-05-26 22:03:49,-20.5167,57.5167,72.36,89,13,3.76
70,Rawson,AR,2021-05-26 21:59:05,-43.3002,-65.1023,52.59,63,100,4.14
71,New Norfolk,AU,2021-05-26 22:03:49,-42.7826,147.0587,45.9,51,57,7.43
72,Bonavista,CA,2021-05-26 22:03:50,48.6499,-53.1147,41.11,93,100,11.72
73,Arraial Do Cabo,BR,2021-05-26 22:02:43,-22.9661,-42.0278,71.98,77,2,12.82
74,Palaikastron,GR,2021-05-26 22:03:50,35.2,26.25,70.66,70,0,7.76
75,Margate,GB,2021-05-26 22:01:58,51.3813,1.3862,54.3,79,100,1.99
76,Ranong,TH,2021-05-26 22:03:50,9.9658,98.6348,78.35,92,100,9.53
77,Barrow,US,2021-05-26 22:03:51,71.2906,-156.7887,33.82,86,90,14.97
78,Hilo,US,2021-05-26 22:00:14,19.7297,-155.09,88.29,76,47,5.01
79,Khuzhir,RU,2021-05-26 22:03:51,53.1939,107.3397,40.8,72,75,9.01
80,Saldanha,ZA,2021-05-26 22:03:51,-33.0117,17.9442,58.23,83,100,6.6
81,Quesnel,CA,2021-05-26 22:03:51,52.9999,-122.5029,65.17,44,100,6.38
82,Nizhniy Tsasuchey,RU,2021-05-26 22:03:52,50.5167,115.1333,46.96,72,79,5.59
83,Tiznit,MA,2021-05-26 22:03:52,29.5833,-9.5,59.9,81,16,3.4
84,Djambala,CG,2021-05-26 22:03:52,-2.5447,14.7533,74.79,61,100,3.22
85,Mattru,SL,2021-05-26 22:03:52,7.6244,-11.8332,76.17,94,49,1.52
86,Saskylakh,RU,2021-05-26 22:03:53,71.9167,114.0833,37.0,94,100,10.45
87,Torbay,CA,2021-05-26 22:03:20,47.6666,-52.7314,49.75,93,100,5.88
88,Union De Reyes,CU,2021-05-26 22:03:53,22.7953,-81.5375,82.58,53,38,14.52
89,Chokurdakh,RU,2021-05-26 22:03:53,70.6333,147.9167,38.71,74,69,8.97
90,Port Alfred,ZA,2021-05-26 22:03:54,-33.5906,26.891,60.26,78,90,5.35
91,Buin,CL,2021-05-26 22:03:54,-33.7333,-70.75,68.05,32,4,4.21
92,Sitka,US,2021-05-26 22:03:54,57.0531,-135.33,51.69,66,75,8.05
93,Imeni Stepana Razina,RU,2021-05-26 22:03:54,54.8932,44.2963,52.77,75,24,3.8
94,Srednekolymsk,RU,2021-05-26 22:03:55,67.45,153.6833,55.18,46,90,13.22
95,Port Hedland,AU,2021-05-26 22:03:55,-20.3167,118.5667,68.05,40,40,6.91
96,Kruisfontein,ZA,2021-05-26 22:03:55,-34.0033,24.7314,49.89,83,100,4.21
97,Thompson,CA,2021-05-26 22:03:56,55.7435,-97.8558,46.87,26,94,8.84
98,Ushuaia,AR,2021-05-26 22:02:56,-54.8,-68.3,28.06,100,90,17.27
99,Joniskis,LT,2021-05-26 22:03:56,56.2403,23.6153,50.92,94,68,9.8
100,Shaygino,RU,2021-05-26 22:03:56,57.7675,46.8618,41.16,83,58,4.21
101,Narsaq,GL,2021-05-26 22:03:56,60.9167,-46.05,35.82,99,100,0.69
102,Zhigansk,RU,2021-05-26 22:03:57,66.7697,123.3711,50.5,77,100,7.29
103,Ambulu,ID,2021-05-26 22:03:57,-8.345,113.6058,74.1,90,92,3.85
